platform,komentar,timestamp
tiktok,"Mantan boleh ilang, saldo di 𝗩𝗜𝗖𝗧𝗢𝗥𝗬𝟬𝟬𝟳 jangan ",2025-05-02 17:03:25
tiktok,Selamat datang di Indonesia (c)emas ,2025-05-02 17:03:25
tiktok,Sebenernya kontennya bagus. Tapi saya agak pening tone suara nya treeble sekali.,2025-05-02 17:03:25
tiktok,Terlalu sibuk sikut sikutan politik dari partai atau pejabatnya. Negara dijadikan tambang uang bukan untuk kemakmuran bersama,2025-05-02 17:03:25
tiktok,kok disini gak planga plongo,2025-05-02 17:03:25
tiktok,Gila iklan lo banyak amat bang ampe 5 kali,2025-05-02 17:03:25
tiktok,"Bagaimana menjadi emas kalau bonus demografi di terjemahkan bonus pasar/konsumsi, bukan bonus produksi.. ",2025-05-02 17:03:25
tiktok,jadi wapres aja bang seriusan,2025-05-02 17:03:25
tiktok,"Cari orang pinter banyak, anis itu kurang pinter apa, tp jd gubernur ngak bisa kerja..",2025-05-02 17:03:25
tiktok,itu loh,2025-05-02 17:03:25
tiktok,"nah gini bikin videonya, jangan baca teks.. ga kayak mas wapres , ga nyaman banget liat wapres gituuu",2025-05-02 17:03:25
tiktok,"Bang, bikin video nya kok lebih dari 6 menit hehe",2025-05-02 17:03:25
tiktok,Bang angkat isu pembatalan status ms calon pegawai p3k di sumbar yang di tmskan,2025-05-02 17:03:25
tiktok,"Beda antara yang mememahami topi sma hasil dri buatan tim yg jga dipaksakan. Karena cma baca text jdinya gk punya feeling dan tatapan kosong...

Kalo mmg ada isinya, kenapa selalu menghindar kalo pidato dipembukaan, tdk pernah menjawab pertanyaan wartawan.",2025-05-02 17:03:25
tiktok,Giliran kita makzulkan wapres kosong,2025-05-02 17:03:25
tiktok,Lebih enak ini dari pada gibran,2025-05-02 17:03:25
tiktok,"Yg merusak bonus demografi ya JKW ... 10thn berkuasa semua jd berantakan ... Eehh gibran ngomong bonus demografi, ini orang sadar n ngerti nggak sih apa yg diomongin",2025-05-02 17:03:25
tiktok,"WIK WOK
DE TOK
NOT ANLE
TOK DETOK",2025-05-02 17:03:25
tiktok,Gibran gak bakalan sampe bang,2025-05-02 17:03:25
tiktok,"tidak mungkin org yg mempunyai kerajaan menjelekkan kerajaanny sendiri, yg paham paham aj",2025-05-02 17:03:25
tiktok,"jir di ulti
kwkwowkowkowkok",2025-05-02 17:03:25
tiktok,"Yg ini kok gampang dipahami, apakah otak sy gak smpe untuk memahami wapres kita",2025-05-02 17:03:39
tiktok,Ini ceritanya lg cosplay Profesor apa gmn?,2025-05-02 17:03:39
tiktok,Wkwkw deskripsi nya sama juga ,2025-05-02 17:03:39
tiktok,16 menit + yang jelas dan jelas banget kalau belom sadar juga pemerintah ya udh lah wkwkw terserah ,2025-05-02 17:03:39
tiktok,"Heh editor subtitle, itu bang Ferry bilang masalah policy, bukan polisi.. itu beda banget loh.. ",2025-05-02 17:03:39
tiktok,mendingan lu aja bang yg jadi wapres,2025-05-02 17:03:39
tiktok,"Jiplak konten sebelah ini mah.
Eh, lbh berbobot ini deng ",2025-05-02 17:03:39
tiktok,Knp lu gajadi wapres bang? ,2025-05-02 17:03:39
tiktok,Biar ngak dibilang pak ma'ruf amin jilid 2 ... maka terciptalah monolog ,2025-05-02 17:03:39
tiktok,Yang dapat bonus demografi ya si admin AI itu ,2025-05-02 17:03:39
tiktok,"Bakal Jadi Komedi Dunia Sih Kalo Video Ini Di Takedown Karena Copyright Tuh tiktokr sok asik pake jabatan planga plongo doang.

Sumpah Demi Allah Gw Bakal Doain DPR Bubar Kalo Video Ini Hilang Kena Takedown Dalam Segala Apapun.",2025-05-02 17:03:39
tiktok,lebih berisi daripada wapres 02,2025-05-02 17:03:39
tiktok,Yang beneran berisi gak pake text.,2025-05-02 17:03:39
tiktok,"Wapres yg ketuker, kalo di ukur anak mudah menjadi pemimpin.",2025-05-02 17:03:39
tiktok,"Gw gk bisa bikin video gini one take, beda isi kepala wkwkwk",2025-05-02 17:03:39
tiktok,Cukurukuk : Ilmu padi,2025-05-02 17:03:39
tiktok,anda lebih cocok jd wapres,2025-05-02 17:03:39
tiktok,Anjay dia sedang memasak,2025-05-02 17:03:39
tiktok,SRI MULYANI... GANTI.....,2025-05-02 17:03:53
tiktok,"Bang tolong hadirkan aktivis & edukator anti judol dong bang.
ImamBudi, yang baru saja di undang Mba Grace Tahir",2025-05-02 17:03:53
tiktok,"bang sekarang sekolah mahal..  katanya sekolah geratis/berbayar murah lah ini 10 juta belom spp dll..
adek aku aja sampe 10 juta bang buat bayar sekolah  .. padahal kota yogyakarta kok sekolah mahal ya.. indonesia emas dari mananya. apa"" mahal
UMR aja ga bisa nyukup buat bayar sekolah + MAKAN+ TRANSPORTASI. SMP pun juga smp sekarang zonasi dan al hasil masuk MUH***yah",2025-05-02 17:03:53
tiktok,Wkkwkw parah dan cerdas bgt si bang menurut gue video ini,2025-05-02 17:03:53
tiktok,Hiu,2025-05-02 17:03:53
tiktok,Abang ini kenapa mirip profesornya la casa de papel yaa wkwkw,2025-05-02 17:03:53
tiktok,"Modal receh di 𝙑𝙄𝘾𝙏𝙊𝙍𝙔007, cuan segede gentong ",2025-05-02 17:03:53
tiktok,"bre, lu masih kalah sama yg onoh. 
punya F4 biarpun viewsnya ga sampe 10k tapi likenya hampir 50k. bisa ga lu.",2025-05-02 17:03:53
tiktok,Selama ada logo ctd aku tak percaya wkwkwkwk,2025-05-02 17:03:53
tiktok,"iya sih paham paham gak paham,",2025-05-02 17:03:53
tiktok,lu mirip Professor yang ada di money heist bang,2025-05-02 17:03:53
tiktok,Perbaiki dulu tuh yang di pemerintahan baru kemasalah bonus ini,2025-05-02 17:03:53
tiktok,bonus demografi udah bisa dipake untuk menang pemilu kok bos. udah pinter2 nih mendukung politik pemerintahan kita. makan tuh bonus demografi...,2025-05-02 17:03:53
tiktok,pemerintah dapat bonus demonstrasi,2025-05-02 17:03:53
tiktok,fufufafa beli like ama view bang wkwkwkwk,2025-05-02 17:03:53
tiktok,"Policy, bukan polusi hehe",2025-05-02 17:03:53
tiktok,One prompter one shot beda skill ,2025-05-02 17:03:53
tiktok,Kelihatn orang yg suka baca sama yg gk. Yg ini suka baca.,2025-05-02 17:03:53
tiktok,Yah bang lu salah bang ... Harusnya lu jgn lebih pinter dri wapres gue .huhuhu,2025-05-02 17:03:53
tiktok,Menurutku sistem yang Nggak jelas ,2025-05-02 17:03:53
tiktok,"Main bentar di 𝑽𝑰𝑪𝑻𝑶𝑹𝒀𝟎𝟎𝟕, saldo kayak diisi Jin lampu ",2025-05-02 17:03:53
tiktok,"yg dislike jauh lebih sedikit, mgkn anggaran tombol dislike belum cair?",2025-05-02 17:04:08
tiktok,biar apa bg?,2025-05-02 17:04:08
